ÐòºÅ,self_density,log10_self_sp
837,0.059107863,-1.22835474
838,0.059129208,-1.228197938
839,0.059195056,-1.227714561
840,0.059257888,-1.227253829
841,0.059319528,-1.226802312
842,0.059327527,-1.226743754
843,0.059339222,-1.226658154
844,0.059405364,-1.226174339
845,0.059613441,-1.224655812
846,0.059677869,-1.224186696
847,0.059758309,-1.223601699
848,0.059764222,-1.22355873
849,0.059843909,-1.222980049
850,0.059844684,-1.222974421
851,0.059849707,-1.222937968
852,0.059885206,-1.222680452
853,0.05998818,-1.221934317
854,0.060289321,-1.219759607
855,0.060363806,-1.219223387
856,0.060525415,-1.21806222
857,0.060582595,-1.21765213
858,0.060621618,-1.217372476
859,0.060631718,-1.217300124
860,0.060720984,-1.2166612
861,0.060976287,-1.214839022
862,0.060992948,-1.214720376
863,0.061032718,-1.214437286
864,0.061261228,-1.212814301
865,0.061296052,-1.212567494
866,0.0614711,-1.211329018
867,0.061589316,-1.21049462
868,0.061638852,-1.210145461
869,0.061692984,-1.209764223
870,0.061843357,-1.208706941
871,0.062337999,-1.205247142
872,0.062468772,-1.204337031
873,0.062489231,-1.204194817
874,0.062517329,-1.203999584
875,0.062607354,-1.20337465
876,0.062611049,-1.203349018
877,0.062709365,-1.202667598
878,0.06294879,-1.201012616
879,0.063066956,-1.200198129
880,0.063145293,-1.19965902
881,0.063225503,-1.199107706
882,0.063251573,-1.198928667
883,0.063263909,-1.198843979
884,0.063405159,-1.197875404
885,0.063423017,-1.197753106
886,0.063485874,-1.1973229
887,0.063500925,-1.197219951
888,0.063545822,-1.196912998
889,0.063808104,-1.195124157
890,0.063974713,-1.193991656
891,0.064085954,-1.193237144
892,0.064216779,-1.192351484
893,0.064312975,-1.191701401
894,0.064469116,-1.190648283
895,0.064559884,-1.190037256
896,0.064617255,-1.189651497
897,0.064684096,-1.189202487
898,0.064715742,-1.188990064
899,0.064724935,-1.188928377
900,0.064741932,-1.188814343
901,0.064829144,-1.188229713
902,0.064834097,-1.188196535
903,0.064845126,-1.188122662
904,0.064901661,-1.187744188
905,0.065169164,-1.185957849
906,0.065285874,-1.185180775
907,0.06533103,-1.184880492
908,0.065332464,-1.184870962
909,0.065378289,-1.184566452
910,0.065615518,-1.182993435
911,0.065664815,-1.182667278
912,0.065936348,-1.180875112
913,0.065988074,-1.180534547
914,0.066021748,-1.18031298
915,0.066101764,-1.179786952
916,0.066142152,-1.179521682
917,0.066196877,-1.179162501
918,0.066208808,-1.179084233
919,0.066720138,-1.175743067
920,0.066940802,-1.174309087
921,0.066974757,-1.174088854
922,0.067421101,-1.171204159
923,0.067854694,-1.168420106
